instance,bit,expected,network,expected_bit,network_bit,gadget_sigma_nodes,broken_network,broken_matches
square_plus,0,7/1,7/1,1,1,3,9/1,False
square_plus,1,7/1,7/1,1,1,3,9/1,False
square_plus,2,7/1,7/1,1,1,3,9/1,False
square_plus,3,7/1,7/1,0,0,3,9/1,False
signed_product,0,-7/1,-7/1,1,1,3,-31/8,False
signed_product,1,-7/1,-7/1,1,1,3,-31/8,False
signed_product,2,-7/1,-7/1,1,1,3,-31/8,False
signed_product,3,-7/1,-7/1,0,0,3,-31/8,False
nested,0,100/1,100/1,0,0,6,2523/8,False
nested,1,100/1,100/1,0,0,6,2523/8,False
nested,2,100/1,100/1,1,1,6,2523/8,False
nested,3,100/1,100/1,0,0,6,2523/8,False
rational,0,1/1,1/1,1,1,3,17/9,False
rational,1,1/1,1/1,0,0,3,17/9,False
rational,2,1/1,1/1,0,0,3,17/9,False
rational,3,1/1,1/1,0,0,3,17/9,False
